Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol14,C(NCC)(C(O)=O)C(C1=CC(O)=C(O)C=C1),23.84,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol15,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(F)=C1),17.98,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][F][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0fluoro][pop]
mol16,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C#N)=C1),19.27,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyano][pop]
mol17,C(N)(C(O)=O)C(C1=CC(O)=C(O)C([N+]([O-])=O)=C1),26.13,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0nitro][pop]
mol18,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C=O)=C1),24.92,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][=O][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0aldehyde][pop]
mol19,C(N)(C(O)=O)C(C1=C(O)C(O)=C(O)C=C1),18.88,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][O][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0hydroxly][pop]
mol20,C(N)(C(O)=O)C(C1=C(C(C)(C)(C))C(O)=C(O)C=C1),22.86,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0tertButyl][pop]
mol21,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)C)=C1),26.98,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0acetyl ][pop]
mol22,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C)=C1),24.84,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methyl][pop]
mol23,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(F)(F)(F))=C1),25.09,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0trifluoromethyl][pop]
mol24,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(C)(C)(C))=C1),25.53,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0tertButyl][pop]
mol25,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(O)=C1),17.91,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0hydroxly][pop]
mol26,C(NC=O)(C(O)=O)C(C1=CC(O)=C(O)C=C1),18.3,[C][Branch1][Ring2][N][C][=O][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][N][:0aldehyde][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol27,C(NC)(C(O)=O)C(C1=CC(O)=C(O)C=C1),23.99,[C][Branch1][Ring1][N][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][N][:0methyl][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol28,C(N)(C(=O)OC2=CC=CC=C2)C(C1=CC(O)=C(O)C=C1),16.77,[C][Branch1][C][N][Branch1][=C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0ester][Ring1][:0phenyl][pop][pop][C][:2Catechol]
mol29,C(N)(C(O)=O)C(C1=C(Cl)C(O)=C(O)C=C1),17.97,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][Cl][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0chloro ][pop]
mol30,C(N)(C(O)=O)C(C1=C(C)C(O)=C(O)C=C1),25.3,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0methyl][pop]
mol31,C(C)(N(N))(C(O)=O)C(C1=CC(O)=C(O)C=C1),17.75,[C][Branch1][C][C][Branch1][Ring1][N][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0methyl][pop][Branch][N][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol32,C(C)(N(N))(C(O)=O)C(C1=CC(O)=C(O)C=C1(O)),19.37,[C][Branch1][C][C][Branch1][Ring1][N][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O],[C][Branch][:0methyl][pop][Branch][N][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0hydroxly][pop]
mol33,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(F)),17.48,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][F],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0fluoro][pop]
mol34,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(F)),22.98,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][F],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0fluoro][pop]
mol35,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(Cl)),21.08,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][Cl],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0chloro ][pop]
mol36,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C)),18.98,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0methyl][pop]
mol37,C(N(N))(C(O)=O)C(C1=CC(O)=C(O)C=C1),15.87,[C][Branch1][Ring1][N][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][N][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol38,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C)),18.2,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0methyl][pop]
mol39,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C#N)),19.97,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][#N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0cyano][pop]
mol40,C(C)(N(O))(C(O)=O)C(C1=CC(O)=C(O)C=C1),22.98,[C][Branch1][C][C][Branch1][Ring1][N][O][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0methyl][pop][Branch][N][:0hydroxly][pop][Branch][:0carboxyl][pop][C][:2Catechol]
mol41,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1([N+]([O-])=O)),24.33,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][N+1][Branch1][C][O-1][=O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0nitro][pop]
mol42,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(OC)),24.36,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0methoxy][pop]
mol43,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(Cl)),18.29,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][Cl],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0chloro ][pop]
mol44,C(N)(C(O)=O)C(C1=C(OC)C(O)=C(O)C=C1),22.04,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][O][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0methoxy][pop]
mol45,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CO)=C1),26.3,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0hydroxymethyl][pop]
