Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol148,NC(C(O)C1=CC(O)=C(O)C(CC2=CC=CC=C2)=C1)C(O)=O,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,
mol149,NC(C(O)C1=CC(O)=C(O)C(CC(=O)C2=CC=CC=C2)=C1)C(O)=O,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,
mol150,NC(C(O)C1=CC(O)=C(O)C(COC2=CC=CC=C2)=C1)C(O)=O,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,
mol151,COC(=O)C1=CC(O)=C(O)C=C1CC(N)C(O)=O,18.48,,,,,,,,,,,,,,,,,,,,,,,,,,
mol152,NC(CC1=CC(O)=C(O)C=C1C=C)C(O)=O,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,
mol153,NC(CC1=CC(O)=C(O)C=C1C#C)C(O)=O,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,
mol154,C\C=C\C1=CC(O)=C(O)C=C1CC(N)C(O)=O,20.18,,,,,,,,,,,,,,,,,,,,,,,,,,
mol155,CC#CC1=CC(O)=C(O)C=C1CC(N)C(O)=O,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,
mol156,COCC1=CC(O)=C(O)C=C1CC(N)C(O)=O,20.37,,,,,,,,,,,,,,,,,,,,,,,,,,
mol157,NC(CC1=CC(O)=C(O)C=C1C(Cl)=O)C(O)=O,15.46,,,,,,,,,,,,,,,,,,,,,,,,,,
mol158,NC(CC1=CC(O)=C(O)C=C1C(N)=O)C(O)=O,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,
mol159,NC(CC1=CC(O)=C(O)C=C1C(O)=O)C(O)=O,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,
mol160,NC(CC1=CC(O)=C(O)C=C1CC1=CC=CC=C1)C(O)=O,18.82,,,,,,,,,,,,,,,,,,,,,,,,,,
mol161,NC(CC1=CC(O)=C(O)C=C1CC(=O)C1=CC=CC=C1)C(O)=O,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,
mol162,NC(CC1=CC(O)=C(O)C=C1COC1=CC=CC=C1)C(O)=O,20.83,,,,,,,,,,,,,,,,,,,,,,,,,,
mol163,OC1=C(O)C=CC=C1,12.96,,,,,,,,,,,,,,,,,,,,,,,,,,
mol164,NCCC1=CC(O)=C(O)C=C1,22.86,,,,,,,,,,,,,,,,,,,,,,,,,,
mol165,NCCC1=CC(O)=C(O)C(O)=C1,18.91,,,,,,,,,,,,,,,,,,,,,,,,,,
mol166,NC(C(O)C1=CC(O)=C(O)C=C1)C(O)=O,24,,,,,,,,,,,,,,,,,,,,,,,,,,
mol167,NCC(O)C1=CC(O)=C(O)C=C1,22.92,,,,,,,,,,,,,,,,,,,,,,,,,,
mol168,COC1=CC(CCN)=CC(O)=C1O,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,
mol169,NCCC1=CC(O)=C(O)C(OC(F)(F)F)=C1,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,
mol170,NCCC1=CC(=O)C(=O)C=C1,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,
