Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol71,NCC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,20.92,0.314702,-0.145401,0.156594,-0.081334,0.098563,0.259603,0.204356,0.093494,0.573755,-0.097402,-0.233999,-0.271152,-0.48315,-0.144656,132.45,2.14,150.03,135.31,0.0031,208.13,17,0.1998,1.6303,14.0625,5.104166667,3.495198903
mol72,NC(C(O)C1=CC(O)=C(O)C(S)=C1)C(O)=O,26.12,0.322703,-0.140465,0.152966,-0.059566,-0.110744,0.3093,0.212749,0.094782,0.575404,-0.093885,-0.231925,-0.26474,-0.482674,-0.143956,132.47,4.51,124.01,131.54,0.0104,197.7,16,0.2047,1.8534,15.05882353,6.805293006,4.301783265
mol73,NC(C(O)C1=CC(O)=C(O)C(Cl)=C1)C(O)=O,25.6,0.317544,-0.125811,0.141755,-0.019035,-0.128768,0.333096,0.215843,0.095388,0.574899,-0.092249,-0.201706,-0.259712,-0.481688,-0.143245,125.18,5.28,124.01,128.29,0.0141,193.58,16,0.2148,1.8672,16.05555556,7.555555556,4.565992866
mol74,NC(C(O)C1=CC(O)=C(O)C(CC#N)=C1)C(O)=O,19.89,0.320131,-0.127405,0.145335,-0.087093,0.116636,0.284217,0.214202,0.096395,0.574522,-0.092387,-0.220325,-0.260546,-0.482104,-0.140432,136.94,4.96,147.8,139.35,0.0156,213.7,18,0.2168,1.6057,13.06666667,5.365079365,3.5
mol75,NC(C(O)C1=CC(O)=C(O)C(N)=C1)C(O)=O,25.11,0.31105,-0.157364,0.141399,-0.107043,0.284754,0.268985,0.207976,0.092815,0.576841,-0.097626,-0.250585,-0.270577,-0.484263,-0.144115,122.33,1.85,150.03,127.19,0.0033,191.33,16,0.1873,1.6057,13.06666667,5.365079365,3.2256
mol76,NC(CC1=CC(O)=C(O)C(OC#N)=C1)C(O)=O,19.65,0.318862,-0.093962,0.134133,-0.070296,0.309643,0.274491,-0.01763,0.131917,0.572995,-0.082537,-0.206663,-0.253021,-0.48197,-0.156036,128.17,7.1,136.8,133.58,0.0143,197.84,17,0.2244,1.7466,14.0625,5.104166667,3.495198903
mol77,COC1=CC(CC(N)C(O)=O)=CC(O)=C1O,25.18,0.313416,-0.130553,0.148626,-0.14654,0.353069,0.260444,-0.034033,0.125078,0.574307,-0.090292,-0.220911,-0.266719,-0.483954,-0.1583,126.6,2.48,113.01,132.16,0,197.54,16,0.1945,1.6303,14.0625,5.557655955,3.25
mol78,NCC1=CC(CC(N)C(O)=O)=CC(O)=C1O,21.24,0.315785,-0.125141,0.153868,-0.10956,0.101259,0.253538,-0.032772,0.129664,0.573306,-0.091737,-0.235394,-0.269765,-0.485172,-0.160099,128.87,1.48,129.8,131.93,0.0025,200.09,16,0.1987,1.5481,14.0625,5.557655955,3.25
mol79,CSC1=CC(CC(N)C(O)=O)=CC(O)=C1O,19.02,0.323504,-0.127457,0.165126,-0.111557,-0.122723,0.294444,-0.033372,0.127986,0.574054,-0.08958,-0.215622,-0.264462,-0.482971,-0.158851,141.66,3.26,103.78,135.13,0.0029,206.69,16,0.1947,1.5071,14.0625,5.557655955,3.25
mol80,CCC1=CC(CC(N)C(O)=O)=CC(O)=C1O,24.56,0.318686,-0.127549,0.159,-0.150918,0.141701,0.25567,-0.033761,0.12746,0.573604,-0.090323,-0.233096,-0.267987,-0.484096,-0.159412,132.68,2.52,103.78,133.09,0.0004,205.36,16,0.2012,1.6644,14.0625,5.557655955,3.25
